county	year	一般政務	債務	教科文	社會福利	社發環境	經濟發展	補助及其他	退休撫卹	總預算
臺東縣	2015	0.273074829	0.009065484	0.299663127	0.138133846	0.012588401	0.102934943	0.024897933	0.139641436	14340106
花蓮縣	2015	0.224921515	0.011069842	0.328703441	0.118504466	0.015046528	0.157956846	0.019830065	0.123967298	17145683
苗栗縣	2015	0.217926932	0.027110792	0.350499915	0.110585129	0.045469803	0.105077343	0.02419146	0.119138626	23975692
連江縣	2015	0.234776207	0.000208653	0.257456841	0.080249522	0.052714912	0.331963175	0.027437933	0.015192756	2875581
金門縣	2015	0.163270852	0	0.174068273	0.12856427	0.080790602	0.398311218	0.02015722	0.034837565	14085772
雲林縣	2015	0.169910123	0.02579271	0.346981904	0.151049673	0.007998256	0.129180732	0.030789313	0.13829729	26765586
高雄市	2015	0.178719763	0.018452015	0.360798004	0.180464236	0.073069199	0.119857992	0.022098117	0.046540675	123425220
南投縣	2016	0.20684993	0.01246826	0.357091787	0.13518116	0.013813364	0.114838097	0.027010302	0.1327471	21550000
嘉義市	2016	0.238843987	0.002582995	0.338646115	0.117769131	0.060586849	0.084842514	0.025574206	0.131154204	11574162
嘉義縣	2016	0.185847217	0.021217391	0.316615044	0.14814413	0.010688957	0.151511261	0.028639217	0.137336783	23000000
基隆市	2016	0.246183085	0.010117505	0.281815339	0.132988092	0.050686473	0.150694412	0.019160383	0.10835471	17494431
宜蘭縣	2016	0.173713089	0.01083656	0.348859708	0.112031667	0.068428376	0.150792361	0.02760276	0.10773548	20427885
屏東縣	2016	0.203704369	0.008181967	0.352830568	0.14007079	0.011763901	0.10353965	0.021288267	0.158620488	30555000
彰化縣	2016	0.179872683	0.010565307	0.375709289	0.149824015	0.00707193	0.131684833	0.025300355	0.119971589	41056262
新北市	2016	0.192995841	0.006922143	0.349180552	0.119900967	0.091066656	0.196735839	0.022315827	0.020882176	161187800
新竹市	2016	0.188206683	0.011352504	0.305150507	0.12285837	0.065494328	0.120502888	0.064379512	0.122055208	18498121
新竹縣	2016	0.144290601	0.020116646	0.377757231	0.125587329	0.028635515	0.159289936	0.035733629	0.108589112	25606803
桃園市	2016	0.177740064	0.002683123	0.378934376	0.147923956	0.070875502	0.180933125	0.023383115	0.01752674	94750765
澎湖縣	2016	0.258428327	0.003221587	0.24052102	0.14703401	0.038235986	0.169266942	0.032457187	0.110834942	8495191
臺中市	2016	0.184903744	0.005381867	0.346191854	0.129761354	0.058988985	0.23428828	0.018330402	0.022153515	126350200
臺北市	2016	0.166246486	0.015113589	0.395375229	0.161287203	0.090727691	0.120478687	0.018410036	0.032361079	160312886
臺南市	2016	0.199307462	0.012044946	0.363216952	0.134917525	0.041052984	0.183875944	0.020100813	0.045483374	77210807
臺東縣	2016	0.268634234	0.006475526	0.29097085	0.131035903	0.014273226	0.12541683	0.023209646	0.139983785	15442760
花蓮縣	2016	0.23258314	0.008445266	0.305507794	0.106008512	0.015161868	0.184485901	0.01936069	0.128446829	17974566
苗栗縣	2016	0.233796333	0.031544282	0.375402453	0.105350436	0.032799429	0.079626968	0.03235702	0.10912308	19020880
連江縣	2016	0.217755787	0.000187367	0.238147195	0.076004597	0.040903981	0.388612176	0.023967923	0.014420975	3202280
金門縣	2016	0.16220676	0	0.194734482	0.096697883	0.061754198	0.422332699	0.025361748	0.036912231	13294076
雲林縣	2016	0.163886362	0.024451529	0.331216733	0.156637496	0.005676754	0.154088125	0.030145628	0.133897373	27790000
高雄市	2016	0.185113563	0.0189228	0.370145309	0.15342072	0.075731356	0.125950878	0.0211062	0.049609174	120354493
南投縣	2017	0.199955567	0.010319702	0.352015878	0.141747013	0.019049812	0.117836419	0.027593947	0.131481662	21857801
嘉義市	2017	0.227789369	0.001582684	0.319247029	0.120310377	0.048038859	0.136464792	0.024421186	0.122145704	12571052
嘉義縣	2017	0.183868565	0.018608696	0.337070174	0.153521217	0.006461174	0.123355565	0.028726174	0.148388435	23000000
基隆市	2017	0.24632225	0.010241125	0.288758289	0.139193316	0.048668255	0.135705085	0.018911365	0.112200316	17283258
宜蘭縣	2017	0.181085682	0.009645036	0.367011835	0.123224834	0.064108973	0.117393536	0.028136403	0.109393701	19857158
屏東縣	2017	0.205829619	0.007705348	0.342518262	0.143941224	0.01161575	0.117179442	0.020447804	0.150762552	32445000
彰化縣	2017	0.181827871	0.010361576	0.371438701	0.156439392	0.007512054	0.128448838	0.025873508	0.118098059	41863516
新北市	2017	0.196762378	0.006429087	0.36208954	0.152550072	0.090333382	0.147525403	0.02268137	0.021628768	156317363
新竹市	2017	0.167526214	0.009061453	0.308557955	0.128300046	0.060251675	0.171977868	0.042531472	0.111793319	19754007
新竹縣	2017	0.173574791	0.022048372	0.351528371	0.146576821	0.028583319	0.131524161	0.035869829	0.110294337	23363312
桃園市	2017	0.173793908	0.002427119	0.360444967	0.150742291	0.064127708	0.210973384	0.023004216	0.014486407	102234389
澎湖縣	2017	0.259179217	0.001982123	0.253007522	0.154148509	0.055117807	0.14162526	0.032639306	0.102300257	8445492
臺中市	2017	0.17989826	0.004732938	0.380805244	0.1297775	0.062213654	0.199716839	0.019059858	0.023795707	126771143
